"","gene_symbol","logFC","logCPM","PValue","FDR"
"MSTRG.30342|SNRPB2","MSTRG.10162|C1RL",-8.27406876289987,3.12815133265134,0.000139128332924985,0.0282815794298127
"MSTRG.34734|NECTIN3","MSTRG.10163|C1RL-AS1",-8.2878366156382,3.13839428470081,0.000143770177358061,0.0287823538398797
"MSTRG.38176|NAF1","MSTRG.10164|RBP5",-8.27966993971594,3.13268768583423,0.000149490855830302,0.0294809354938176
"MSTRG.9240|CWC15","MSTRG.10166|CLSTN3",-8.22244342381198,3.08207630354707,0.000158498953175519,0.0307977451221783
"MSTRG.2430|DENND2C","MSTRG.10169|PEX5",-8.20632514276877,3.0685932787077,0.000176830104072956,0.0338616835524053
"MSTRG.26400|CMPK2","MSTRG.10171|CD163",-3.61286129085925,4.52563278819018,0.000179815787318878,0.0339415142549191
"MSTRG.27999|IL1R1","MSTRG.10171|CD163L1",-3.36819736295414,6.35482373862161,0.000184777891202553,0.0342759066767327
"MSTRG.10557|SSPN","MSTRG.10193|SLC2A3",-4.12136202029233,3.70854866686683,0.000186775545351151,0.0342759066767327
"MSTRG.1981|SELENOF","MSTRG.1019|SMIM12",-3.4556960954993,4.8370343514004,0.000229276895881844,0.0414991181546137
"MSTRG.3850|CFH","MSTRG.101|VWA1",-3.6119781417632,5.55436706419295,0.000236541987434359,0.0422355308104078
"MSTRG.37392|BMPR1B","MSTRG.10200|FOXJ2",-3.8972488084436,8.21629313459721,0.000242976101203171,0.0428059096693
"MSTRG.1359|RAD54L","MSTRG.10201|C3AR1",-5.4439085265678,3.15571643362066,0.000253305598252242,0.0434975268750704
"MSTRG.6601|GSTO1","MSTRG.10202|FAM66C",-8.08759491155891,2.96666413592794,0.000253485928205587,0.0434975268750704
"MSTRG.37145|RCHY1","MSTRG.10202|NECAP1",-3.6944847931868,4.0863174415194,0.000263919029117477,0.0445274456629604
"MSTRG.28825|FAP","MSTRG.10214|LINC00937",-3.46022871807738,4.74138686293216,0.000268809047452262,0.0445274456629604
"MSTRG.2196|DPH5","MSTRG.10235|RIMKLB",-8.05025032670216,2.93575095340378,0.000270409618910241,0.0445274456629604
"MSTRG.35760|MRPL47","MSTRG.10242|PHC1",-7.83941472366347,2.76153776362322,0.000272967766495103,0.0445274456629604
"MSTRG.13013|DCLK1","MSTRG.10243|M6PR",-3.18961647333646,5.29204911264845,0.000317846732080686,0.0512159618412451
"MSTRG.14229|SLC7A7","MSTRG.10250|A2M",-3.90675462423805,3.82125039470764,0.000324625092574655,0.0516779680504689
"MSTRG.7909|SYT13","MSTRG.10253|PZP",-3.5334103270115,5.94736011944748,0.000343116822748683,0.0539714592735518
"MSTRG.39575|ARSB","MSTRG.10266|DDX12P",-3.30959616873202,4.66232500230955,0.000347293697262944,0.0539857837874739
"MSTRG.9398|POGLUT3","MSTRG.10274|CLEC2D",-3.21297847150296,4.56242469060683,0.000382430933220943,0.0581706034387574
"MSTRG.11951|WASHC3","MSTRG.10274|NPM1P7",-7.97344932563216,2.87317303645454,0.000384795291093622,0.0581706034387574
"MSTRG.35833|YEATS2-AS1","MSTRG.1027|ZMYM6",-7.97528254443374,2.87186487635522,0.000387422470491989,0.0581706034387574
"MSTRG.900|PTPRU","MSTRG.1028|ZMYM1",-3.14771906691614,4.93472511142839,0.000406249835694824,0.059931534164909
"MSTRG.11165|MIR3198-2","MSTRG.10292|CLEC7A",3.36601015173191,5.04132382271229,0.000408707877355732,0.059931534164909
"MSTRG.2258|FAM102B","MSTRG.10293|OLR1",-3.1403446350673,5.88942491645049,0.000414150655400395,0.059931534164909
"MSTRG.45779|FLNC","MSTRG.10295|GABARAPL1",-3.31656831809948,4.99409671244086,0.000418192872566389,0.059931534164909
"MSTRG.28446|POTEI","MSTRG.10297|KLRD1",-3.40562354910886,7.08614634747305,0.00043048812654766,0.059931534164909
"MSTRG.1892|IFI44L","MSTRG.10299|KLRK1-AS1",-3.25285360495683,7.50312724820703,0.000434009182694079,0.059931534164909
"MSTRG.45615|TFEC","MSTRG.102|ATAD3C",-3.49279418258944,4.10559169736074,0.000434930114498299,0.059931534164909
"MSTRG.28075|ST6GAL2","MSTRG.10306|MAGOHB",-3.34158720702373,4.17864102690115,0.000438966583629467,0.059931534164909
"MSTRG.32229|ATP6V1E1","MSTRG.10308|YBX3",-3.32376949301814,4.20702854260919,0.000447005748958759,0.059931534164909
"MSTRG.29260|MOB4","MSTRG.10329|SMIM10L1",-3.21045619547167,4.66204486626841,0.000447947823716044,0.059931534164909
"MSTRG.11689|PPFIA2","MSTRG.1032|SFPQ",-4.83478399167321,4.12470044233731,0.000449392351925435,0.059931534164909
"MSTRG.17163|UBL7-AS1","MSTRG.10345|ETV6",-7.67051394299957,2.62214195222368,0.000457975844195664,0.059931534164909
"MSTRG.46254|GIMAP4","MSTRG.10349|LRP6",-3.80783119111185,3.63602107053893,0.00045811586699885,0.059931534164909
"MSTRG.28414|POTEF","MSTRG.1034|ZMYM4",-3.25360585758435,5.90348200341355,0.000469207240895785,0.0604512344876952
"MSTRG.23432|ACAA2","MSTRG.10354|MANSC1",-3.60372736672638,3.46832582441758,0.000474052554761515,0.0604512344876952
"MSTRG.28794|CD302","MSTRG.10357|BORCS5",-3.41153990087093,4.12384833312604,0.000475813848991168,0.0604512344876952
"MSTRG.29098|ITPRID2","MSTRG.10359|DUSP16",-3.44886758593049,8.82110557293677,0.00048699103491328,0.0612820242315158
"MSTRG.13071|MRPS31","MSTRG.10362|CREBL2",-7.65397277858302,2.60747162330199,0.000493130322271706,0.0613771128616717
"MSTRG.28802|TANK","MSTRG.10367|CDKN1B",-3.25223395094063,4.3419365392013,0.00050136164521996,0.0613771128616717
"MSTRG.11763|DCN","MSTRG.10369|APOLD1",-3.03644683299705,6.30909655226606,0.000502985621608917,0.0613771128616717
"MSTRG.39793|RHOBTB3","MSTRG.10369|DDX47",-3.06341662484724,6.67085349922495,0.000506327503362008,0.0613771128616717
"MSTRG.34851|ADPRH","MSTRG.10374|RPL13AP20",-3.79049571042474,3.43149648231321,0.000526001352649801,0.0631823261141984
"MSTRG.35369|CP","MSTRG.10375|GPRC5A",-3.38310298040287,4.01303213099584,0.000534015226011099,0.0634800739855711
"MSTRG.11328|KIF5A","MSTRG.10375|MIR614",-3.67985495314794,3.8382619683999,0.000538088873562701,0.0634800739855711
"MSTRG.11762|LUM","MSTRG.10380|HEBP1",-3.05262832866089,5.59131713681935,0.000549723844963717,0.0640301953674296
"MSTRG.16512|CATSPER2P1","MSTRG.10381|HTR7P1",-4.05260251138938,3.11436878558155,0.000552443977286534,0.0640301953674296
"MSTRG.43392|LTV1","MSTRG.10383|FAM234B",-7.62989237357244,2.58781325315351,0.000558872049617517,0.0642119686225761
"MSTRG.45556|DNAJB9","MSTRG.10385|EMP1",-4.04686587267966,3.11403550857359,0.000584729224897839,0.0662302166476874
"MSTRG.7816|SLC1A2","MSTRG.10388|GRIN2B",-3.30544961846737,4.49968551540319,0.000586462979473202,0.0662302166476874
"MSTRG.1731|PDE4B","MSTRG.103|ATAD3B",-3.12009865936212,5.44873786255628,0.000631514854198388,0.0706815640334948
"MSTRG.15251|DIO2","MSTRG.10401|ATF7IP",-3.18249439543934,4.86626840593872,0.000636744733297041,0.0706815640334948
"MSTRG.2454|SLC22A15","MSTRG.10402|PLBD1",-3.22460030890993,4.12281922547527,0.000641927471733851,0.0706815640334948
"MSTRG.38267|MFAP3L","MSTRG.10404|PLBD1-AS1",-3.11854716415057,4.47362321228056,0.00065534765860652,0.0715628811005616
"MSTRG.47628|RDH10-AS1","MSTRG.10408|H4-16",-3.12326799448508,4.49937041143132,0.000665940553054094,0.0721235453074078
"MSTRG.6829|HTRA1","MSTRG.10409|H2AJ",-3.01006012714492,5.46383906420556,0.000685353622971476,0.0736225806530253
"MSTRG.40087|LOX","MSTRG.1040|KIAA0319L",-3.13227360798968,5.98118772004015,0.000712205026871221,0.0751824854154951
"MSTRG.42556|CD109","MSTRG.10410|WBP11",-3.25528016709233,5.26625857552083,0.000712961437502555,0.0751824854154951
"MSTRG.21324|STARD3","MSTRG.10416|MGP",3.44395215064835,8.02156960239085,0.000716944915034616,0.0751824854154951
"MSTRG.42919|SNX3","MSTRG.10418|ARHGDIB",-3.00052217836937,4.94042025447191,0.000741260592917803,0.0766578468670065
"MSTRG.31675|ADAMTS5","MSTRG.10420|RERG",-3.1319956820277,4.11864098710122,0.000743069745572077,0.0766578468670065
"MSTRG.41221|SERPINB9","MSTRG.10424|PTPRO",-3.16108794802073,4.26152904177267,0.000751470035283936,0.0766578468670065
"MSTRG.37345|HERC3","MSTRG.10426|EPS8",-3.28910672851057,3.74172543738328,0.000754220850125697,0.0766578468670065
"MSTRG.10201|C3AR1","MSTRG.1042|NCDN",-3.51468901831362,3.55465170704497,0.000778155423235275,0.0781427421064836
"MSTRG.27348|PLEK","MSTRG.10430|STRAP",-3.55157171880462,4.5414857838931,0.000784628743845117,0.0781427421064836
"MSTRG.28617|KYNU","MSTRG.10434|MGST1",-3.2496832515672,3.9869031662504,0.000786572670866747,0.0781427421064836
"MSTRG.13960|BMS1P17","MSTRG.10435|SUPT16HP1",-3.74850433376769,3.1646543911693,0.000807997521524012,0.0796721735216177
"MSTRG.1772|DEPDC1","MSTRG.10438|LMO3",-3.3708610046416,3.43767891313085,0.000819766864316936,0.0802339228016272
"MSTRG.37210|PAQR3","MSTRG.1045|PSMB2",-3.23500575657688,4.35427456346179,0.000830829771015664,0.0807187776796321
"MSTRG.16911|RAB8B","MSTRG.10465|PLEKHA5",-3.01482119214243,4.62673564690278,0.000837841186421023,0.080805807271394
"MSTRG.28699|NMI","MSTRG.10469|AEBP2",-3.41902493244345,3.31743002209594,0.000854052102704661,0.0809165528357578
"MSTRG.28457|POTEJ","MSTRG.1046|C1orf216",-3.64668854420575,5.30105004465958,0.00085883063129081,0.0809165528357578
"MSTRG.37158|CXCL10","MSTRG.10473|EEF1A1P4",-3.22500968030254,4.04183596266023,0.00085883890347817,0.0809165528357578
"MSTRG.38970|TARS1","MSTRG.1047|CLSPN",-2.92307648435134,4.67427664670304,0.000866256586036348,0.0809165528357578
"MSTRG.48767|PTPRD","MSTRG.10483|PDE3A",-3.00782087480379,5.04695395068591,0.000869609513560706,0.0809165528357578
"MSTRG.41299|F13A1","MSTRG.10491|PYROXD1",-3.11512584542708,5.85534904774336,0.0009210413549078,0.0843201326577914
"MSTRG.29505|ERBB4","MSTRG.10493|RECQL",-3.26770096912435,7.46041116939397,0.000924558874745677,0.0843201326577914
"MSTRG.10193|SLC2A3","MSTRG.10494|GOLT1B",-2.96811849859848,4.55785886281122,0.000925332569089515,0.0843201326577914
"MSTRG.35764|PEX5L","MSTRG.10499|ABCC9",-3.45766777953274,3.15530635270816,0.00094904468619092,0.0858885441002783
"MSTRG.24569|CYP4F8","MSTRG.1049|AGO4",3.73186625224349,7.28157140618249,0.000968401524285907,0.0865202251199807
"MSTRG.47571|SULF1","MSTRG.10503|ST8SIA1",-2.96953817149454,7.48402128782674,0.000969120814179758,0.0865202251199807
"MSTRG.37393|UNC5C","MSTRG.10508|C2CD5",-3.18222062268845,7.71562701003712,0.000979890018908898,0.0868945424150555
"MSTRG.6271|IFIT3","MSTRG.1050|AGO1",-2.87352766187934,4.94754098923308,0.00099357775031649,0.0875209520995452
"MSTRG.38093|MAP9","MSTRG.10513|ETNK1",-2.90176748565228,5.05458793688035,0.00100440042551691,0.0878828447360801
"MSTRG.43627|FNDC1","MSTRG.10527|BCAT1",-2.95690356385077,6.30296943710184,0.0010109886021255,0.0878828447360801
"MSTRG.51501|HEPH","MSTRG.10539|KRAS",-3.0185869309384,4.08170548205774,0.0010335044535593,0.0892529042148956
"MSTRG.29295|BZW1","MSTRG.1054|AGO3",-2.8902000925896,6.95225598781312,0.00104485729416129,0.0896473988815142
"MSTRG.47153|LETM2","MSTRG.10554|RASSF8-AS1",-3.32540770998805,3.71801415209889,0.00107272478437364,0.0914445972640573
"MSTRG.24528|ADGRE2","MSTRG.10555|RASSF8",-2.89911284579748,4.42967872566503,0.00108638014648768,0.0920150056124467
"MSTRG.49659|NTRK2","MSTRG.10556|BHLHE41",-3.00357622402707,4.48263868638959,0.00110507423791425,0.0930022032201341
"MSTRG.43696|RNA5SP226","MSTRG.10557|SSPN",3.44683495332306,4.00125619361591,0.00111746597557708,0.0933783533433908
"MSTRG.40676|SPARC","MSTRG.10560|ITPR2",-3.16502594602345,9.92018346915194,0.00112922558481116,0.0933783533433908
"MSTRG.44793|ZNF727","MSTRG.10569|INTS13",-3.40372485468823,3.61071002266398,0.00113074521569231,0.0933783533433908
"MSTRG.28289|SCTR-AS1","MSTRG.10570|FGFR1OP2",3.55886143100262,3.61557509456449,0.00115373166143845,0.0946848226247596
"MSTRG.47069|MAK16","MSTRG.10571|TM7SF3",-3.00883930304781,3.78989899917694,0.00116345912817516,0.0947046305017397
"MSTRG.38774|RETREG1","MSTRG.10573|MED21",-2.84008711269882,5.64203167759431,0.00116830808838141,0.0947046305017397
"MSTRG.9760|VWA5A","MSTRG.10579|STK38L",-3.02019058093397,3.95034684347813,0.0011791972807809,0.0947661417273594
"MSTRG.5919|PPA1","MSTRG.10580|ARNTL2",-2.86822026294651,4.50358486309768,0.00118341129077532,0.0947661417273594
"MSTRG.29174|PMS1","MSTRG.10584|PPFIBP1",-2.97587875616514,4.04758401714206,0.00119271446632118,0.0949357605030229
"MSTRG.11029|SCN8A","MSTRG.1058|ADPRS",-2.89031687747562,4.98293124124855,0.00121153010367659,0.0958559716160406
"MSTRG.50741|MXRA5","MSTRG.10593|MRPS35",-2.96703631723012,8.1272616588403,0.00122043988603784,0.09598614413225
"MSTRG.14692|GNG2","MSTRG.10597|KLHL42",-3.10639816107389,3.86754959240502,0.001296452010504,0.101314053656567
"MSTRG.45531|PRKAR2B","MSTRG.1059|COL8A2",-2.96117999944887,3.75040578679686,0.00130839277696837,0.101314053656567
"MSTRG.10008|ADIPOR2","MSTRG.105|ATAD3A",-2.97101290899898,7.10376884117471,0.00131118619354219,0.101314053656567
"MSTRG.43460|GINM1","MSTRG.10602|CCDC91",-2.97050169519648,3.83735435334267,0.00134314475446765,0.10318006767896
"MSTRG.40765|EBF1","MSTRG.1060|TRAPPC3",-3.05168958736486,3.82296570692671,0.00136091336330267,0.103406021638631
"MSTRG.43801|PSMB1","MSTRG.10611|FAR2",-2.81798433564563,4.79300110107339,0.00136173827027336,0.103406021638631
"MSTRG.16343|FAM98B","MSTRG.10617|ERGIC2",-2.77621411188222,4.76596757446636,0.00140062076662714,0.105750869653968
"MSTRG.45205|CYP51A1","MSTRG.10618|OVCH1-AS1",-3.06966711945209,4.44873051289983,0.00141146397929073,0.10583884693216
"MSTRG.43136|TPD52L1","MSTRG.1061|MAP7D1",-2.92039929104167,5.04198228626274,0.0014209062385819,0.10583884693216
"MSTRG.51668|NEXMIF","MSTRG.10620|TMTC1",-3.18043898326167,3.4182059557215,0.00142662978500546,0.10583884693216
"MSTRG.37537|CYP2U1","MSTRG.10630|IPO8",-3.0974448052976,3.58184437488117,0.00143880644501827,0.10583884693216
"MSTRG.12424|TMED2","MSTRG.10632|CAPRIN2",-2.80956504663074,7.04806770673328,0.00144183701262308,0.10583884693216
"MSTRG.14433|EAPP","MSTRG.10635|TSPAN11",-3.42428402275345,3.16483584442122,0.00145448638818491,0.106177506337499
"MSTRG.37495|CXXC4","MSTRG.10638|DDX11-AS1",-3.97430142528053,4.03341450437075,0.00148854060632805,0.107818326029046
"MSTRG.6404|PIK3AP1","MSTRG.10639|DDX11",-2.98181196028,4.63267344783469,0.00149877039930763,0.107818326029046
"MSTRG.38782|BASP1","MSTRG.1063|THRAP3",-2.92763666128378,3.92498808117541,0.00150144342612158,0.107818326029046
"MSTRG.37441|DAPP1","MSTRG.10646|SINHCAF",-2.77742149641679,4.35728159787,0.00155388941891289,0.109872648025047
"MSTRG.24696|PIK3R2","MSTRG.10651|DENND5B",-2.83908078753468,4.65900560461247,0.00156169862881878,0.109872648025047
"MSTRG.29377|WDR12","MSTRG.1065|SH3D21",-2.81563850584206,4.73712559455489,0.0015662969979404,0.109872648025047
"MSTRG.40020|AP3S1","MSTRG.10663|ETFBKMT",-2.88899754021044,4.03749456060457,0.00156694852642124,0.109872648025047
"MSTRG.37853|NOCT","MSTRG.10678|RESF1",-2.81177875596361,5.05079128038044,0.00157162873508922,0.109872648025047
"MSTRG.11372|SLC16A7","MSTRG.10684|BICD1",-2.9977488968391,4.02148959269999,0.00158519025451125,0.110237467541353
"MSTRG.14643|VCPKMT","MSTRG.1068|STK40",-3.13588777932212,3.24480704513616,0.00166369606972147,0.114583453800148
"MSTRG.42681|NT5E","MSTRG.10690|FGD4",-2.94227090941712,4.41211211798443,0.00166502861799958,0.114583453800148
"MSTRG.11570|TMEM19","MSTRG.10692|DNM1L",-2.83929351472905,4.16222021373427,0.00167785181693458,0.114867647964542
"MSTRG.10794|TWF1","MSTRG.10697|YARS2",-2.70341067884918,4.99200525998916,0.00169852157321444,0.115305983606846
"MSTRG.5339|MPP7","MSTRG.1069|LSM10",-2.85703660012125,4.63521241401436,0.00170170792426663,0.115305983606846
"MSTRG.52071|DOCK11","MSTRG.10701|PKP2",-2.80394894749719,4.86979057154512,0.00171879280392137,0.11533158985237
"MSTRG.29650|ATG9A","MSTRG.10712|ALG10",-2.8966205665985,3.8499380637872,0.0017278637392803,0.11533158985237
"MSTRG.49790|OGN","MSTRG.1071|OSCP1",-2.9686854444118,3.57866528030417,0.00172924251580833,0.11533158985237
"MSTRG.50188|PAPPA","MSTRG.10730|ALG10B",-2.70975944254008,5.25794527200436,0.0017370004072218,0.11533158985237
"MSTRG.2121|CNN3","MSTRG.10736|KIF21A",-2.74151005792895,5.13411587684717,0.00177830620672893,0.117483799547547
"MSTRG.9840|CDON","MSTRG.1073|MRPS15",-2.76368575749874,5.7497133250806,0.00180525991349,0.118578306408712
"MSTRG.23560|LMAN1","MSTRG.10742|SLC2A13",-2.69802382489246,6.60145767458047,0.00182004339066953,0.118578306408712
"MSTRG.16366|SRP14","MSTRG.10748|LRRK2",-2.66583144282849,5.14326498251358,0.00182179642783384,0.118578306408712
"MSTRG.47964|MATN2","MSTRG.1074|CSF3R",-2.88178919732915,4.24032797873973,0.00183545792984988,0.118881890328953
"MSTRG.11742|GALNT4","MSTRG.10750|MUC19",-2.79187971709337,5.2583658996266,0.00184716341899692,0.119056440269299
"MSTRG.37327|SPP1","MSTRG.10765|GXYLT1",-2.90225995531864,6.49959464684484,0.00186686889470069,0.119742420901361
"MSTRG.1878|NEXN","MSTRG.10766|YAF2",-2.85020342281433,3.65842369861451,0.00191311821415306,0.122116091611615
"MSTRG.37842|SLC7A11","MSTRG.10767|PPHLN1",-2.72325013775245,4.90492824434067,0.0019377013364566,0.122895915318092
"MSTRG.40479|PCDHGA5","MSTRG.10769|ZCRB1",-2.92314361754573,4.28502507877274,0.00194393750862645,0.122895915318092
"MSTRG.42298|TNFRSF21","MSTRG.10773|Y_RNA",-2.65700297664673,4.71766069170698,0.00198647794333229,0.124987300310712
